City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hermanus,-34.4187,19.2345,15.45,74,50,8.1,ZA,1712770058
83,sitka,57.0531,-135.33,6.94,65,100,5.14,US,1712770058
84,prince george,53.9166,-122.753,4.23,60,0,3.6,CA,1712769949
85,fale old settlement,-9.3852,-171.2468,29.92,76,54,5.25,TK,1712769977
86,piacabucu,-10.4056,-36.4344,29.9,66,95,4.01,BR,1712770059
87,kyabe,9.4515,18.9449,37.64,12,32,1.8,TD,1712770059
88,margaret river,-33.95,115.0667,15.53,64,0,6.57,AU,1712770059
89,lospalos,-8.5186,127.0025,21.36,88,48,1.39,TL,1712770059
90,saipan,15.1355,145.701,27.39,69,40,6.69,MP,1712770059
91,flekkefjord,58.2971,6.6607,7.75,81,26,4.52,NO,1712770060
92,qina,26.1642,32.7267,25.12,21,61,5.21,EG,1712770060
93,torghay,49.6339,63.4981,11.7,60,100,4.47,KZ,1712770060
94,bilibino,68.0546,166.4372,-23.39,99,92,1.69,RU,1712770060
95,port saint john's,-31.6229,29.5448,20.23,74,60,10.36,ZA,1712770060
96,eskisehir,39.7767,30.5206,14.93,44,0,6.17,TR,1712769971
97,komlo,46.1928,18.2649,13.69,78,100,5.68,HU,1712770061
98,vila franca do campo,37.7167,-25.4333,19.23,99,100,4.82,PT,1712770061
99,katima mulilo,-17.5,24.2667,20.59,93,100,1.03,NA,1712770061
100,longyearbyen,78.2186,15.6401,-14.09,72,0,4.12,SJ,1712770061
101,engel's,51.5,46.1167,15.69,75,3,6.24,RU,1712769904
102,pionerskiy,54.9508,20.2275,10.08,84,89,11.19,RU,1712770062
103,glace bay,46.1969,-59.957,6.26,56,40,8.23,CA,1712770062
104,neustrelitz,53.3667,13.0833,13.28,62,86,2.86,DE,1712770062
105,olonkinbyen,70.9221,-8.7187,-6.0,79,100,5.63,SJ,1712770062
106,san patricio,28.017,-97.5169,23.81,39,1,12.51,US,1712770063
107,colby,39.3958,-101.0524,17.12,33,0,11.62,US,1712770063
108,paraparaumu,-40.9167,175.0167,18.47,75,96,5.35,NZ,1712770063
109,tomatlan,19.9333,-105.25,29.39,40,0,2.54,MX,1712769833
110,kayes,14.0,-11.0,42.25,12,1,3.41,ML,1712770063
111,wailua homesteads,22.0669,-159.378,22.64,82,0,4.12,US,1712770064
112,sinan,34.8262,126.1086,12.06,80,100,3.81,KR,1712770064
113,miasskoye,55.2784,61.8905,4.92,79,100,1.95,RU,1712770064
114,mareeba,-17.0,145.4333,22.4,90,88,0.89,AU,1712770064
115,uturoa,-16.7333,-151.4333,28.77,77,77,6.99,PF,1712770064
116,mount pearl,47.5166,-52.7813,1.75,66,75,7.72,CA,1712770065
117,punasa,22.2333,76.4,27.29,51,68,5.57,IN,1712770065
118,guantanamo,20.1444,-75.2092,31.76,35,1,5.88,CU,1712770065
119,la passe,45.5549,-0.8967,16.13,76,56,3.78,FR,1712770065
120,onguday,50.75,86.15,4.13,90,100,1.22,RU,1712770065
121,howrah,22.5892,88.3103,30.61,74,20,0.0,IN,1712770066
122,porto novo,6.4965,2.6036,31.9,65,93,3.98,BJ,1712770066
123,kinablangan,7.6947,126.5503,24.5,82,72,1.95,PH,1712770066
124,bom jesus,-9.0744,-44.3586,35.03,37,39,0.28,BR,1712770066
125,waddan,29.1614,16.139,25.46,12,0,5.05,LY,1712770066
126,kargil,34.5667,76.1,-8.29,87,97,1.98,IN,1712770066
127,port alfred,-33.5906,26.891,15.1,97,100,1.79,ZA,1712770067
128,souillac,-20.5167,57.5167,26.21,83,75,5.66,MU,1712770067
129,la manga del mar menor,37.6413,-0.7165,21.23,48,0,7.2,ES,1712770067
130,dvubratskiy,45.2389,39.805,16.33,66,95,5.42,RU,1712770067
131,siwa oasis,29.2041,25.5195,23.93,24,0,3.64,EG,1712770068
132,micheweni,-4.9667,39.8333,28.29,83,81,4.68,TZ,1712770068
133,avarua,-21.2078,-159.775,27.03,89,75,7.2,CK,1712770068
134,el calafate,-50.3408,-72.2768,7.49,61,21,2.25,AR,1712770068
135,prince rupert,54.3161,-130.3201,5.83,88,100,10.8,CA,1712770068
136,chui,-33.6971,-53.4616,20.21,66,92,6.81,UY,1712770022
137,kristiansund,63.1115,7.732,5.36,87,75,12.35,NO,1712770069
138,calderitas,18.55,-88.25,31.06,70,0,5.66,MX,1712770069
139,noumea,-22.2763,166.4572,24.99,87,98,2.98,NC,1712769970
140,usogorsk,63.4106,48.6872,-1.3,96,100,2.02,RU,1712770069
141,saint-jean-de-monts,46.7833,-2.0667,14.44,16,100,5.06,FR,1712770070
142,mugia,43.1041,-9.2179,18.84,64,100,4.44,ES,1712770070
143,queenstown,-31.8976,26.8753,11.87,78,47,3.54,ZA,1712770070
144,tidjikja,18.5564,-11.4271,38.76,9,0,4.64,MR,1712770070
145,igarka,67.4667,86.5833,-24.43,96,40,4.47,RU,1712770070
146,bengkulu,-3.8004,102.2655,24.75,89,100,1.54,ID,1712770071
147,jamestown,42.097,-79.2353,15.01,91,100,3.6,US,1712769934
148,botou,38.0667,116.5667,13.23,73,4,2.47,CN,1712770071
149,stanley,54.868,-1.6985,11.01,90,40,5.66,GB,1712769860
150,nemuro,43.3236,145.575,2.08,81,0,3.54,JP,1712770071
151,tiksi,71.6872,128.8694,-13.68,97,100,4.62,RU,1712770071
152,cottage grove,44.8277,-92.9438,19.75,40,0,5.66,US,1712769789
153,nova sintra,14.8667,-24.7167,22.75,76,3,7.79,CV,1712770072
154,whitehorse,60.7161,-135.0538,0.57,64,100,4.12,CA,1712770072
155,dhangadhi,28.7079,80.5961,25.35,11,0,1.84,NP,1712770072
156,plattsburgh,44.6995,-73.4529,17.94,69,100,3.13,US,1712769923
157,east ballina,-28.8667,153.5833,12.67,75,3,4.87,AU,1712770073
158,mandalgovi,45.7625,106.2708,9.26,32,82,4.21,MN,1712770073
159,fort st. john,56.2499,-120.8529,4.94,45,40,4.12,CA,1712769931
160,aasiaat,68.7098,-52.8699,-7.73,75,94,3.04,GL,1712770073
161,shimoda,34.6667,138.95,8.95,75,64,3.39,JP,1712770073
162,rio grande,-32.035,-52.0986,25.06,72,82,7.39,BR,1712770040
163,ahfir,34.9537,-2.1003,21.34,38,36,3.59,MA,1712770074
164,la sarre,48.8002,-79.1996,10.43,58,28,4.99,CA,1712770074
165,lihue,21.9789,-159.3672,22.98,77,0,4.12,US,1712769805
166,hithadhoo,-0.6,73.0833,29.83,69,100,3.31,MV,1712770074
167,parkano,62.0167,23.0167,7.92,82,100,5.49,FI,1712770075
168,punta arenas,-53.15,-70.9167,9.06,61,75,12.86,CL,1712770075
169,anadyr,64.75,177.4833,-10.72,85,75,5.0,RU,1712770075
170,sao tome,0.3365,6.7273,29.23,75,99,3.34,ST,1712770075
171,kapuskasing,49.4169,-82.4331,9.05,76,75,5.14,CA,1712770075
172,arraial do cabo,-22.9661,-42.0278,28.98,78,20,6.17,BR,1712770075
173,nuuk,64.1835,-51.7216,-3.66,86,75,3.09,GL,1712770076
174,bandon,51.7469,-8.7425,12.77,95,100,8.81,IE,1712770076
175,enewetak,11.3474,162.3373,27.2,81,100,9.65,MH,1712770076
176,zapala,-38.8992,-70.0544,8.78,30,100,8.79,AR,1712770076
177,barranca,-10.75,-77.7667,23.9,74,43,3.71,PE,1712769945
178,canutama,-6.5339,-64.3831,31.49,68,50,1.59,BR,1712770077
179,bhamo,24.2667,97.2333,24.58,39,34,0.7,MM,1712770077
180,tolanaro,-25.0319,46.9987,25.04,88,0,2.06,MG,1712770077
181,bumba,2.1833,22.4667,23.17,90,84,0.57,CD,1712770077
182,muroto-misakicho,33.2833,134.15,15.54,71,99,5.45,JP,1712770077
183,qaqortoq,60.7167,-46.0333,-1.78,72,6,1.65,GL,1712770077
184,fisterra,42.9049,-9.2629,18.75,68,100,6.65,ES,1712770078
185,deqen,29.9618,90.7188,0.41,47,72,0.68,CN,1712770078
186,naranjal,-2.6667,-79.6167,29.0,79,84,1.25,EC,1712770078
187,khusropur,25.4667,85.3833,30.02,14,20,1.93,IN,1712770078
188,pailon,-17.65,-62.75,31.82,78,99,4.04,BO,1712770078
189,kodiak,57.79,-152.4072,-2.27,80,75,6.17,US,1712769848
190,papao,-17.75,-149.55,27.82,80,64,7.85,PF,1712770079
191,huilong,31.8111,121.655,12.62,88,100,3.9,CN,1712770079
192,benidorm,38.5382,-0.131,21.81,66,9,3.89,ES,1712770079
193,susuman,62.7833,148.1667,-21.68,100,68,0.45,RU,1712770079
194,llerena,38.2354,-6.0739,20.24,55,33,3.53,ES,1712770080
195,cambridge,43.3601,-80.3127,17.68,43,0,5.66,CA,1712769842
196,oranjemund,-28.55,16.4333,16.37,79,0,8.9,NA,1712770080
197,ende,-8.8432,121.6623,24.11,90,94,1.24,ID,1712770080
198,taltal,-25.4,-70.4833,18.88,76,99,1.82,CL,1712770080
199,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,96,75,3.0,RU,1712769887
200,acajutla,13.5928,-89.8275,30.91,60,39,4.49,SV,1712770081
201,encrucijada,22.6169,-79.8711,31.31,48,40,4.12,CU,1712770081
202,balsas,-7.5325,-46.0356,32.12,57,78,1.4,BR,1712769506
203,dosso,13.049,3.1937,38.35,19,89,2.54,NE,1712770081
204,arkhangel'sk,64.5401,40.5433,7.06,76,40,3.0,RU,1712769958
205,atafu village,-8.5421,-172.5159,29.92,76,67,4.67,TK,1712769977
206,frenchville,-23.3442,150.5507,12.52,76,0,0.0,AU,1712770082
207,kingston,17.997,-76.7936,31.53,67,75,8.23,JM,1712770052
208,ribeira grande,38.5167,-28.7,16.54,100,75,8.49,PT,1712770082
209,pechora,65.1472,57.2244,-7.86,95,97,1.34,RU,1712770082
210,al bawiti,28.3492,28.8659,21.66,31,0,3.97,EG,1712770083
211,nazyvayevsk,55.5698,71.3529,-1.05,91,100,1.93,RU,1712770083
212,haiku-pauwela,20.9219,-156.3051,23.36,82,20,1.79,US,1712770083
213,ilulissat,69.2167,-51.1,-4.99,58,40,2.06,GL,1712770083
214,al fujairah city,25.1164,56.3414,32.07,27,0,7.72,AE,1712770083
215,constitucion,-35.3333,-72.4167,17.63,45,31,4.05,CL,1712769825
216,macau,22.2006,113.5461,23.89,88,20,6.17,MO,1712770084
217,creel,27.75,-107.6333,13.13,13,0,3.9,MX,1712770084
218,aparecida do taboado,-20.0867,-51.0936,29.65,60,32,1.64,BR,1712770084
219,katsuren-haebaru,26.3369,127.8719,21.01,79,20,4.63,JP,1712770084
220,north bend,43.4065,-124.2243,13.98,76,0,0.0,US,1712770085
221,saint-francois,46.4154,3.9054,12.69,49,0,3.6,FR,1712770085
222,cova figueira,14.8905,-24.2934,18.09,74,5,8.98,CV,1712770085
223,vallenar,-28.5708,-70.7581,26.13,34,85,2.32,CL,1712770085
224,sao gabriel,-30.3364,-54.32,26.65,58,29,3.97,BR,1712770085
225,tulum,20.2167,-87.4667,30.66,62,83,5.66,MX,1712770034
226,tazovsky,67.4667,78.7,-29.4,100,33,2.58,RU,1712770086
227,alofi,-19.0595,-169.9187,22.94,100,100,1.03,NU,1712769959
228,linfen,36.0889,111.5189,16.43,59,79,1.58,CN,1712770086
229,tvoroyri,61.5556,-6.8111,6.68,90,100,11.17,FO,1712770086
230,hamilton,39.1834,-84.5333,16.71,94,100,3.6,US,1712769833
231,mweka,-4.85,21.5667,24.78,80,89,0.69,CD,1712770087
232,montmagny,48.9734,2.3469,17.17,38,0,3.09,FR,1712770087
233,ocean shores,46.9737,-124.1563,10.57,88,0,3.09,US,1712769788
234,kiiminki,65.1314,25.7974,6.81,95,100,5.62,FI,1712770087
235,iskateley,67.6803,53.1512,-13.88,96,45,2.68,RU,1712770088
236,opochka,56.7105,28.6617,19.07,72,100,4.22,RU,1712769861
237,businga,3.3333,20.8833,24.27,86,56,2.32,CD,1712770088
238,praia da vitoria,38.7333,-27.0667,19.14,88,75,7.83,PT,1712770088
239,sao felix do xingu,-6.6447,-51.995,27.71,76,100,1.92,BR,1712770088
240,kapa'a,22.0752,-159.319,23.39,82,0,4.12,US,1712770088
241,nikolayevsk-on-amure,53.1406,140.73,-2.1,87,8,1.34,RU,1712770089
242,altay,47.8667,88.1167,5.12,82,100,1.02,CN,1712770089
243,grand falls-windsor,48.9332,-55.6649,1.95,52,99,2.24,CA,1712770089
244,acapulco de juarez,16.8634,-99.8901,27.9,74,100,4.63,MX,1712769860
245,asahikawa,43.7678,142.3703,0.56,69,5,5.66,JP,1712770089
246,sitangkai,4.6628,119.3928,28.29,70,100,1.37,PH,1712770090
247,barreirinha,-2.7933,-57.07,27.85,82,100,1.1,BR,1712770090
248,hammerfest,70.6634,23.6821,4.25,81,75,5.14,NO,1712770090
249,luquillo,18.3725,-65.7166,29.33,72,100,5.66,PR,1712770090
250,warrnambool,-38.3833,142.4833,14.66,75,100,4.61,AU,1712770090
251,mount isa,-20.7333,139.5,16.87,42,9,4.63,AU,1712770090
252,chibougamau,49.9168,-74.3659,6.79,61,75,5.14,CA,1712770091
253,talnakh,69.4865,88.3972,-30.45,99,74,2.25,RU,1712770091
254,murzuq,25.9155,13.9184,29.49,12,88,4.69,LY,1712769821
255,el alto,-4.2714,-81.2147,29.81,68,76,4.38,PE,1712770091
256,baki,-7.6128,110.7839,24.33,95,100,1.79,ID,1712770091
257,mponela,-13.5319,33.7401,19.74,94,70,2.1,MW,1712770092
258,poronaysk,49.2167,143.1167,1.84,71,40,4.21,RU,1712770092
259,caleta de carquin,-11.0925,-77.6267,23.89,77,54,3.42,PE,1712770092
260,port lincoln,-34.7333,135.8667,15.69,77,59,4.26,AU,1712770092
261,el porvenir,13.7617,-87.3458,31.63,28,100,2.82,HN,1712770092
262,leh,34.1667,77.5833,-11.84,57,98,2.78,IN,1712770093
263,homer,59.6425,-151.5483,-1.24,74,0,2.68,US,1712770093
264,tongchuanshi,35.0806,109.0897,12.79,80,64,1.56,CN,1712770093
265,phongsali,21.6833,102.1058,19.04,69,40,0.71,LA,1712770093
266,miri,4.4148,114.0089,26.08,94,40,1.03,MY,1712770093
267,yulinshi,38.2906,109.7494,14.01,49,0,3.49,CN,1712770094
268,artesia,33.8658,-118.0831,26.61,41,0,1.54,US,1712770094
269,benghazi,32.1167,20.0667,18.51,60,1,4.87,LY,1712770094
270,kailua-kona,19.6406,-155.9956,22.98,82,20,2.06,US,1712769933
271,kulhudhuffushi,6.6221,73.07,29.67,68,71,2.02,MV,1712770095
272,reyes,-14.3167,-67.3833,31.98,70,40,4.12,BO,1712770095
273,belmonte,-15.8631,-38.8828,29.03,69,86,2.96,BR,1712770095
274,pisco,-13.7,-76.2167,26.12,78,0,5.14,PE,1712769844
275,luderitz,-26.6481,15.1594,20.21,65,0,9.28,NA,1712770096
276,ondjiva,-17.0667,15.7333,31.02,33,0,1.03,AO,1712770096
277,gandajika,-6.75,23.95,22.69,88,100,0.73,CD,1712770096
278,saint-philippe,-21.3585,55.7679,25.77,83,91,5.41,RE,1712770096
279,chos malal,-37.3781,-70.2709,14.73,30,93,6.07,AR,1712770096
280,tangalle,6.024,80.7911,27.15,76,100,4.03,LK,1712770097
281,blankenberge,51.3131,3.1323,15.21,45,92,2.24,BE,1712770097
282,tazacorte,28.629,-17.9293,23.97,75,20,5.66,ES,1712770097
283,lata,40.1629,-8.3327,22.73,48,97,2.88,PT,1712770097
284,oum hadjer,13.2954,19.6966,36.33,8,49,3.04,TD,1712770097
285,orkney,-26.9802,26.6727,17.56,37,0,3.32,ZA,1712770098
286,narasannapeta,18.4167,84.05,26.95,69,5,1.5,IN,1712770098
287,mcalester,34.9334,-95.7697,14.05,88,100,5.14,US,1712770098
288,greymouth,-42.4667,171.2,15.31,95,100,4.95,NZ,1712770098
289,maryborough,-25.5333,152.7,16.73,75,0,1.92,AU,1712770098
290,villa gesell,-37.2639,-56.973,16.7,60,100,7.78,AR,1712769909
291,vadso,70.0744,29.7487,3.49,93,75,4.63,NO,1712770099
292,pamandzi,-12.7967,45.2794,28.88,84,0,1.03,YT,1712770099
293,sittwe,20.15,92.9,27.86,67,0,3.69,MM,1712770099
294,tual,-5.6667,132.75,28.48,73,100,4.1,ID,1712770099
295,flying fish cove,-10.4217,105.6791,25.82,83,40,3.6,CX,1712770100
296,lompoc,34.6391,-120.4579,22.66,57,0,2.06,US,1712770100
297,polyarnyy,69.1989,33.4478,3.1,99,100,5.91,RU,1712770100
298,digras,20.1167,77.7167,28.86,47,77,7.59,IN,1712770100
299,saudarkrokur,65.7461,-19.6394,1.64,81,57,0.15,IS,1712770100
300,guerrero negro,27.9769,-114.0611,21.0,45,0,2.73,MX,1712770101
301,lake city,30.1897,-82.6393,28.16,51,40,5.14,US,1712770101
302,yerofey pavlovich,53.9667,121.9667,-6.45,93,5,1.72,RU,1712770101
303,fougamou,-1.2154,10.5838,25.94,94,100,1.65,GA,1712770101
304,svetlyy,54.675,20.1347,10.2,77,100,7.04,RU,1712770101
305,nizhnyaya poyma,56.1622,97.1933,1.84,91,99,2.79,RU,1712770102
306,ketchikan,55.3422,-131.6461,5.99,87,100,5.66,US,1712770102
307,touros,-5.1989,-35.4608,29.86,68,97,2.06,BR,1712770102
308,st. john's,47.5649,-52.7093,2.21,66,75,7.72,CA,1712770007
309,strathalbyn,-35.2667,138.9,15.59,96,45,1.79,AU,1712770103
310,dera bugti,29.0307,69.151,29.82,11,0,1.6,PK,1712770103
311,saryozek,44.3583,77.9753,8.39,71,100,1.2,KZ,1712770103
312,petawawa,45.9001,-77.3328,17.66,44,40,3.6,CA,1712770103
313,branson,36.6437,-93.2185,16.3,96,100,3.09,US,1712769923
314,morehead city,34.7229,-76.726,26.01,71,0,5.66,US,1712770104
315,meadow lakes,61.6247,-149.6011,-0.61,91,100,2.06,US,1712770104
316,griffith,41.5284,-87.4237,19.08,51,0,2.06,US,1712770104
317,ust-nera,64.5667,143.2,-16.47,98,55,2.14,RU,1712770105
318,buncrana,55.1333,-7.45,13.87,93,100,6.36,IE,1712770105
319,kosong,38.3788,128.4676,16.27,75,100,3.3,KR,1712770105
320,isafjordur,66.0755,-23.124,3.02,70,20,2.06,IS,1712770105
321,nili,33.7218,66.1302,13.07,37,31,2.11,AF,1712770105
322,arno,60.1167,18.6333,7.1,61,71,9.77,SE,1712770106
323,sal rei,16.1833,-22.9167,25.11,57,40,6.69,CV,1712770106
324,newman,37.3138,-121.0208,21.24,71,85,1.79,US,1712770106
325,sandnessjoen,66.0217,12.6316,5.23,93,75,6.69,NO,1712770106
326,zaragoza,41.6561,-0.8773,20.27,28,0,14.4,ES,1712769970
327,aripuana,-9.1667,-60.6333,32.46,59,97,0.92,BR,1712770107
328,mount gambier,-37.8333,140.7667,13.66,69,83,2.21,AU,1712770107
329,kimbe,-5.5502,150.1429,24.42,98,100,0.87,PG,1712770107
330,ongjin,37.9347,125.3619,9.71,92,100,2.24,KP,1712770107
331,krivosheino,57.3431,83.9261,-6.43,85,79,2.49,RU,1712770108
332,taro,-8.3862,115.28,24.0,100,100,0.79,ID,1712770108
333,bardai,11.65,7.2333,37.05,13,40,5.4,NG,1712770108
334,poltavka,54.3663,71.7632,0.75,98,100,4.01,RU,1712770108
335,puerto baquerizo moreno,-0.9,-89.6,27.55,83,40,2.06,EC,1712770109
336,arapiraca,-9.7525,-36.6611,29.44,61,99,5.04,BR,1712770109
337,gamba,-2.65,10.0,26.87,87,93,2.29,GA,1712770109
338,namsos,64.4662,11.4957,5.03,87,75,7.72,NO,1712770109
339,ueda,36.4,138.2667,6.32,71,91,2.36,JP,1712770109
340,spas-klepiki,55.1347,40.1767,16.07,89,32,1.76,RU,1712770110
341,tughyl,47.7252,84.2063,5.1,92,100,1.42,KZ,1712770110
342,ibshaway,29.358,30.6814,23.58,34,2,3.89,EG,1712770110
343,rojhan,28.6868,69.9534,32.36,10,0,2.8,PK,1712769855
